pair_id,context,score_spectral_only,score_full_spatial_spectral
0,exchange,0.6197111783399137,0.4628953585454938
0,radiation,0.6197111783399137,1.0154025366086891e-07
1,exchange,0.5519687823385244,0.997126478651382
1,radiation,0.5519687823385244,1.0697410248536073e-05
2,exchange,0.5507099667323702,0.9996455335946856
2,radiation,0.5507099667323702,0.0003163569842447172
3,exchange,0.5963370754635998,0.6007393900566301
3,radiation,0.5963370754635998,4.930621295928985e-07
4,exchange,0.6902579598679244,0.7856951649707288
4,radiation,0.6902579598679244,8.950432049092135e-08
5,exchange,0.47423266898152744,0.35892751015587915
5,radiation,0.47423266898152744,7.733770269236701e-08
6,exchange,0.6039335522405483,0.2920150171047853
6,radiation,0.6039335522405483,7.86559957218593e-08
7,exchange,0.457747516069304,0.40579862846942094
7,radiation,0.457747516069304,1.0437429290772286e-07
8,exchange,0.4059963679554256,0.8530215032905526
8,radiation,0.4059963679554256,7.467624585549583e-07
9,exchange,0.6348468891391033,0.8714341335332855
9,radiation,0.6348468891391033,8.008557396657316e-07
10,exchange,0.5297196862407713,0.9939463841460887
10,radiation,0.5297196862407713,6.923628296693128e-06
11,exchange,0.4071150926559693,0.9047033223976781
11,radiation,0.4071150926559693,1.7332262066476492e-06
12,exchange,0.4634089471809768,0.6371799409737142
12,radiation,0.4634089471809768,1.26920018013979e-07
13,exchange,0.6099669161869603,0.9999717442182907
13,radiation,0.6099669161869603,0.008932036279284268
14,exchange,0.5371547510785641,0.9999637398895219
14,radiation,0.5371547510785641,0.005354471148876108
15,exchange,0.6225113415528074,0.9920777753842993
15,radiation,0.6225113415528074,4.003042880827669e-05
16,exchange,0.4706558882858813,0.879973705284726
16,radiation,0.4706558882858813,3.3123329210065786e-07
17,exchange,0.691611028025624,0.9999921278582957
17,radiation,0.691611028025624,0.023410741732958002
18,exchange,0.4388205295645874,0.9763227640538192
18,radiation,0.4388205295645874,4.998242130203476e-06
19,exchange,0.5898760985033594,0.6828819193771545
19,radiation,0.5898760985033594,1.6029372060021756e-07
20,exchange,0.4824194383142313,0.9998418539721515
20,radiation,0.4824194383142313,0.0011207417029058242
21,exchange,0.69943400923742,0.8486203177630671
21,radiation,0.69943400923742,1.441517777243382e-06
22,exchange,0.5862399508550669,0.9930988557408271
22,radiation,0.5862399508550669,8.261170886485954e-06
23,exchange,0.5117601270564983,0.99977666281314
23,radiation,0.5117601270564983,6.715033446413032e-05
24,exchange,0.5922718942120091,0.9764840447910862
24,radiation,0.5922718942120091,1.2212751478763591e-05
25,exchange,0.4647509100141107,0.16546156320091904
25,radiation,0.4647509100141107,3.747782191078237e-08
26,exchange,0.42818326903951487,0.5482204651590498
26,radiation,0.42818326903951487,1.1366251650912893e-07
